aaii_bear: p5=17.61 p25=24.58 med=30.36 p75=38 p95=50
aaii_bull: p5=22.22 p25=30.77 med=37.63 p75=44.11 p95=55
aaii_spread: p5=-25 p25=-6 med=7 p75=18.62 p95=35.63
adln_dev_126: p5=-1.753 p25=-0.6932 med=0.05344 p75=0.7481 p95=1.536
cdx_hy: p5=292.5 p25=321.9 med=346.9 p75=418.6 p95=527.3
cesi_eur: p5=-90.2 p25=-29.7 med=7.25 p75=42.8 p95=103
cesi_usd: p5=-69.03 p25=-21.5 med=7.3 p75=35.4 p95=69.4
copper_gold: p5=-0.2006 p25=-0.07385 med=-0.001545 p75=0.07324 p95=0.2386
curve_10y3m: p5=-0.6943 p25=0.497 med=1.445 p75=2.491 p95=3.44
curve_2s10s: p5=-0.3551 p25=0.2387 med=0.8294 p75=1.761 p95=2.518
day_of_month: p5=2 p25=8 med=16 p75=23 p95=29
dd_252: p5=-0.2712 p25=-0.09231 med=-0.03805 p75=-0.01011 p95=0
dd_63: p5=-0.1498 p25=-0.05669 med=-0.02467 p75=-0.006188 p95=0
dd_ath: p5=-0.4842 p25=-0.3071 med=-0.0821 p75=-0.01925 p95=0
down_streak: p5=0 p25=0 med=0 p75=1 p95=3
dxy_ret_63: p5=-0.06643 p25=-0.02644 med=0.001007 p75=0.02556 p95=0.06869
es_basis: p5=-0.004235 p25=-0.001694 med=0.000231 p75=0.00298 p95=0.00857
fx_pctl: p5=0.01111 p25=0.1413 med=0.4774 p75=0.7635 p95=0.9778
fx_ret_21: p5=-0.04398 p25=-0.01637 med=0.000342 p75=0.01731 p95=0.04557
fx_ret_63: p5=-0.07804 p25=-0.02827 med=0.001096 p75=0.03222 p95=0.08378
fx_rr25: p5=-1.765 p25=-0.7475 med=-0.3 p75=0.0975 p95=0.4625
fx_vol1m: p5=5.147 p25=6.83 med=8.683 p75=10.71 p95=14.1
gold_ret_63: p5=-0.08979 p25=-0.03083 med=0.01019 p75=0.06284 p95=0.1558
hy_ig: p5=1.9 p25=2.39 med=2.94 p75=4.09 p95=6.259
hy_ig_pctl: p5=0.006349 p25=0.09762 med=0.3937 p75=0.8119 p95=0.9881
hy_oas: p5=2.66 p25=3.26 med=4.05 p75=5.72 p95=8.439
hy_oas_chg_21: p5=-0.82 p25=-0.28 med=-0.04 p75=0.21 p95=0.9
hy_oas_pctl: p5=0.005556 p25=0.09008 med=0.3679 p75=0.8076 p95=0.9909
month: p5=1 p25=4 med=7 p75=10 p95=12
move_pctl: p5=0.01627 p25=0.1603 med=0.4595 p75=0.7444 p95=0.9706
nfci: p5=-0.8041 p25=-0.6478 med=-0.5189 p75=-0.3078 p95=0.4531
oil_ret_63: p5=-0.2511 p25=-0.0828 med=0.02018 p75=0.1232 p95=0.3374
putcall: p5=0.46 p25=0.55 med=0.62 p75=0.7 p95=0.85
putcall_pctl: p5=0.04325 p25=0.2484 med=0.4869 p75=0.7313 p95=0.9492
rate_chg_63: p5=-0.777 p25=-0.3289 med=-0.0149 p75=0.2704 p95=0.739
ret_1: p5=-0.01912 p25=-0.005346 med=0.0007663 p75=0.006618 p95=0.01845
ret_126: p5=-0.1535 p25=-0.01823 med=0.0679 p75=0.1345 p95=0.2637
ret_21: p5=-0.07619 p25=-0.01728 med=0.01209 p75=0.03966 p95=0.08549
ret_252: p5=-0.2411 p25=0.01845 med=0.1309 p75=0.2471 p95=0.4131
ret_5: p5=-0.03922 p25=-0.01104 med=0.003669 p75=0.01656 p95=0.04025
ret_63: p5=-0.1248 p25=-0.02023 med=0.03489 p75=0.08303 p95=0.1576
rsi_14: p5=33.78 p25=45.97 med=54.26 p75=62.34 p95=73.13
rvol_21: p5=0.08286 p25=0.1144 med=0.1474 p75=0.2041 p95=0.3324
rvol_63: p5=0.09845 p25=0.1218 med=0.1513 p75=0.2076 p95=0.3166
rvol_pctl: p5=0.03016 p25=0.2024 med=0.4556 p75=0.7656 p95=0.9619
skew: p5=110 p25=114.8 med=119.9 p75=128.5 p95=147.3
sma_ratio_100: p5=-0.09479 p25=-0.01096 med=0.02814 p75=0.06031 p95=0.1092
sma_ratio_20: p5=-0.04309 p25=-0.01005 med=0.006337 p75=0.02056 p95=0.043
sma_ratio_200: p5=-0.1301 p25=-0.006058 med=0.0525 p75=0.1011 p95=0.175
sma_ratio_50: p5=-0.06785 p25=-0.01159 med=0.01405 p75=0.03827 p95=0.07223
spx_dd_252: p5=-0.2317 p25=-0.06764 med=-0.02376 p75=-0.00578 p95=0
spx_ret_21: p5=-0.06702 p25=-0.01418 med=0.01243 p75=0.03325 p95=0.07014
tday_of_month: p5=1 p25=5 med=10 p75=15 p95=20
us_after_eu_close: p5=-0.00694 p25=-0.000292 med=-7.151e-05 p75=3.994e-06 p95=0.006502
us_de_10y: p5=-0.6377 p25=0.0635 med=0.676 p75=1.528 p95=2.168
ux_roll: p5=-0.1366 p25=-0.09141 med=-0.06061 p75=-0.02051 p95=0.05692
v2x_vix: p5=-2.065 p25=0.5554 med=2.65 p75=4.966 p95=10.39
vix: p5=11.43 p25=13.98 med=17.61 p75=22.69 p95=32.86
vix_basis: p5=-0.1415 p25=-0.08059 med=-0.03853 p75=-0.001215 p95=0.07071
vix_chg_21: p5=-7.013 p25=-2.32 med=-0.26 p75=1.89 p95=7.583
vix_chg_5: p5=-4.29 p25=-1.36 med=-0.12 p75=1.14 p95=4.54
vix_pctl: p5=0.01096 p25=0.1325 med=0.4349 p75=0.7992 p95=0.9651
vix_ts: p5=-0.1987 p25=-0.1407 med=-0.09348 p75=-0.03748 p95=0.05419
vvix: p5=71.74 p25=82.88 med=91.27 p75=102.6 p95=122.5
